AC_REG,LOG_SN,DATE,FLT_NUM,FROM,TO,REPORT_STA,PM,ATA,DEFECTS,ACTIONS,ENG1_OIL,ENG2_OIL,APU_OIL,IDG1_OIL,IDG2_OIL,G_HYD,B_HYD,Y_HYD,PART_DESC,PN_OFF,PN_ON,SN_OFF,SN_ON,POS/FIN,MEL REF,MEL CAT
PK-PWA,A0000101,2022-04-15,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000102,2022-04-16,-,-,-,CGK,MAREP,,ADM ACCURACY FUNCTIONAL TEST,ADM ACCURACY FUNCTIONAL TEST PER AMM 34-13-00-720-010-A CARRIED OUT WITH SATISFACTORY RESULT. VALUES WITHIN LIMIT. RII ACCEPTED,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000102,2022-04-16,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000103,,,,,CGK,,,,,,,,,,,,,,,,,,,-,-
PK-PWA,A0000104,,,,,CGK,,,,,,,,,,,,,,,,,,,-,-
PK-PWA,A0000105,2022-04-18,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000106,2022-04-19,-,-,-,CGK,MAREP,,INSTALL A/C DOCUMENT,"INSTALLATION OF CERTIFICATE OF AIRWORTHINESS, VALID UNTIL 17 APR 2023",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000106,2022-04-19,-,-,-,CGK,MAREP,,INSTALL A/C DOCUMENT,INSTALLATION OF NOISE CERTIFICATE ISSUED 18 APRIL 2022,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000107,,,,,CGK,,,,,,,,,,,,,,,-,,,,-,-
PK-PWA,A0000108,2022-04-20,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
